title,studio,domestic_gross_x,foreign_gross,year,id_x,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,Unnamed: 0,genre_ids,id_y,original_language,original_title,popularity,vote_average,vote_count
Get Him to the Greek,Uni.,61000000.0,30300000,2010,22,2010-06-04,Get Him to the Greek,"$40,000,000","$61,153,526","$91,455,875",206,[35],32823,en,Get Him to the Greek,8.485,5.9,980
The Last Song,BV,63000000.0,26100000,2010,15,2010-03-31,The Last Song,"$20,000,000","$62,950,384","$92,678,948",170,"[18, 10751, 10749]",35690,en,The Last Song,9.237,7.2,2199
Dinner for Schmucks,P/DW,73000000.0,13800000,2010,51,2010-07-30,Dinner for Schmucks,"$69,000,000","$73,026,337","$86,796,502",333,[35],38778,en,Dinner for Schmucks,6.632000000000001,5.6,920
Marmaduke,Fox,33600000.0,50100000,2010,59,2010-06-04,Marmaduke,"$50,000,000","$33,644,788","$89,895,930",205,"[10751, 35]",38579,en,Marmaduke,8.487,5.1,367
Piranha 3D,W/Dim.,25000000.0,58200000,2010,52,2010-08-20,Piranha 3D,"$24,000,000","$25,003,155","$83,660,160",95,"[35, 27]",43593,en,Piranha 3D,11.302,5.3,1029
Edge of Darkness,WB,43300000.0,37800000,2010,8,2010-01-29,Edge of Darkness,"$60,000,000","$43,313,890","$82,812,456",97,"[80, 18, 9648, 53]",12201,en,Edge of Darkness,11.252,6.3,794
Vampires Suck,Fox,36700000.0,43900000,2010,49,2010-08-18,Vampires Suck,"$20,000,000","$36,661,504","$81,424,988",179,"[35, 27]",40264,en,Vampires Suck,8.992,4.1,658
Letters to Juliet,Sum.,53000000.0,26100000,2010,89,2010-05-14,Letters to Juliet,"$30,000,000","$53,032,453","$82,148,538",162,"[35, 18, 10749]",37056,en,Letters to Juliet,9.394,6.9,1706
Diary of a Wimpy Kid,Fox,64000000.0,11700000,2010,13,2010-03-19,Diary of a Wimpy Kid,"$15,000,000","$64,003,625","$76,954,311",77,"[35, 10751]",33217,en,Diary of a Wimpy Kid,12.255999999999998,6.0,736
Easy A,SGem,58400000.0,16600000,2010,67,2010-09-17,Easy A,"$8,000,000","$58,401,464","$76,200,721",39,[35],37735,en,Easy A,14.69,6.8,4168
The American,Focus,35600000.0,32299999,2010,51,2010-09-01,The American,"$20,000,000","$35,606,376","$67,950,723",177,"[80, 18, 53]",27579,en,The American,9.042,5.8,690
The Last Exorcism,LGF,41000000.0,26700000,2010,15,2010-08-27,The Last Exorcism,"$1,800,000","$41,034,350","$70,165,900",165,"[27, 18, 53]",38358,en,The Last Exorcism,9.35,5.6,519
The Next Three Days,LGF,21100000.0,46300000,2010,49,2010-11-19,The Next Three Days,"$30,000,000","$21,148,651","$67,255,916",100,"[10749, 18, 53, 80]",43539,en,The Next Three Days,11.147,7.0,1469
Skyline,Uni.,21400000.0,45400000,2010,99,2010-11-12,Skyline,"$10,000,000","$21,416,355","$68,264,973",184,"[878, 28]",42684,en,Skyline,8.847000000000001,4.8,833
Hot Tub Time Machine,MGM,50300000.0,14300000,2010,10,2010-03-26,Hot Tub Time Machine,"$36,000,000","$50,269,859","$65,967,750",130,"[878, 35, 12]",23048,en,Hot Tub Time Machine,10.15,6.0,1383
Devil,Uni.,33600000.0,29100000,2010,71,2010-09-17,Devil,"$10,000,000","$33,679,655","$63,354,114",125,"[27, 9648, 53]",44040,en,Devil,10.203,5.9,1516
127 Hours,FoxS,18300000.0,42400000,2010,6,2010-11-05,127 Hours,"$18,000,000","$18,335,230","$60,217,171",93,"[12, 18, 53]",44115,en,127 Hours,11.435,7.0,4469
Secretariat,BV,59700000.0,537000,2010,53,2010-10-08,Secretariat,"$35,000,000","$59,699,513","$60,376,247",176,[18],39486,en,Secretariat,9.059,7.0,200
Morning Glory,Par.,31000000.0,29000000,2010,73,2010-11-10,Morning Glory,"$40,000,000","$31,011,732","$59,795,070",113,"[35, 18, 10749]",38357,en,Morning Glory,10.595,6.3,717
Remember Me,Sum.,19100000.0,37000000,2010,51,2010-03-12,Remember Me,"$16,000,000","$19,068,240","$56,506,120",92,"[18, 10749]",23169,en,Remember Me,11.453,7.1,2079
Cop Out,WB,44900000.0,10700000,2010,99,2010-02-26,Cop Out,"$37,000,000","$44,875,481","$55,909,910",185,"[28, 35, 80]",23742,en,Cop Out,8.82,5.4,796
The Crazies,Over.,39100000.0,15700000,2010,36,2010-02-26,The Crazies,"$19,000,000","$39,123,589","$56,445,534",78,"[9648, 27, 28]",29427,en,The Crazies,12.245999999999999,6.2,1036
The Switch,Mira.,27800000.0,22100000,2010,39,2010-08-20,The Switch,"$19,000,000","$27,758,465","$49,858,465",260,"[35, 10749, 18]",41210,en,The Switch,7.745,6.1,1008
She's Out of My League,Par.,32000000.0,17800000,2010,62,2010-03-12,She's Out of My League,"$20,000,000","$32,010,860","$48,680,977",256,"[35, 10749]",34016,en,She's Out of My League,7.775,6.1,970
The Spy Next Door,LGF,24300000.0,20900000,2010,68,2010-01-15,The Spy Next Door,"$28,000,000","$24,307,106","$46,752,858",107,"[28, 35, 10751]",23172,en,The Spy Next Door,10.745999999999999,5.7,650
Machete,Fox,26600000.0,17500000,2010,18,2010-09-03,Machete,"$12,500,000","$26,593,646","$46,370,970",69,"[28, 35, 53]",23631,en,Machete,12.557,6.3,1862
Going the Distance,WB (NL),17800000.0,24200000,2010,11,2010-09-03,Going the Distance,"$32,000,000","$17,804,299","$43,603,990",220,"[35, 18, 10749]",38073,en,Going the Distance,8.281,6.0,394
For Colored Girls,LGF,37700000.0,17300,2010,67,2010-11-05,For Colored Girls,"$21,000,000","$37,729,698","$38,017,873",635,[18],44944,en,For Colored Girls,2.858,6.8,33
The Kids Are All Right,Focus,20800000.0,13900000,2010,87,2010-07-09,The Kids Are All Right,"$4,000,000","$20,811,365","$36,275,469",211,"[35, 18]",39781,en,The Kids Are All Right,8.426,6.6,854
Leap Year,Uni.,25900000.0,6700000,2010,40,2010-01-08,Leap Year,"$19,000,000","$25,918,920","$32,618,920",85,"[10749, 35]",25195,en,Leap Year,11.821,6.7,990
You Again,BV,25700000.0,6300000,2010,78,2010-09-24,You Again,"$20,000,000","$25,702,053","$32,838,945",124,"[35, 10749]",38303,en,You Again,10.208,6.2,734
The Losers,WB,23600000.0,5800000,2010,44,2010-04-23,The Losers,"$25,000,000","$23,591,432","$29,863,840",126,"[28, 12, 80, 9648, 53]",34813,en,The Losers,10.202,6.2,844
Ramona and Beezus,Fox,26200000.0,1100000,2010,60,2010-07-23,Ramona and Beezus,"$15,000,000","$26,167,002","$27,469,621",283,"[35, 10751]",38843,en,Ramona and Beezus,7.442,6.3,460
Let Me In,Over.,12100000.0,12000000,2010,38,2010-10-01,Let Me In,"$20,000,000","$12,134,935","$28,270,399",146,"[18, 27, 9648]",41402,en,Let Me In,9.716000000000001,6.7,1061
Mao's Last Dancer,Gold.,4800000.0,17500000,2010,31,2010-08-20,Mao's Last Dancer,"$18,000,000","$4,806,750","$25,941,437",673,"[18, 10749]",33870,en,Mao's Last Dancer,2.681,7.0,45
Just Wright,FoxS,21500000.0,29900,2010,85,2010-05-14,Just Wright,"$12,000,000","$21,540,363","$21,867,665",312,"[35, 18, 10749]",38093,en,Just Wright,7.047000000000001,6.2,211
Our Family Wedding,FoxS,20300000.0,1200000,2010,95,2010-03-12,Our Family Wedding,"$14,000,000","$20,255,281","$21,410,546",446,[35],34563,en,Our Family Wedding,5.025,5.5,57
My Soul to Take,Uni.,14700000.0,6200000,2010,68,2010-10-08,My Soul to Take,"$25,000,000","$14,744,435","$16,727,470",143,"[18, 27, 9648, 53]",43931,en,My Soul to Take,9.808,5.4,247
Country Strong,SGem,20200000.0,310000,2010,71,2010-12-22,Country Strong,"$15,000,000","$20,218,921","$20,601,987",277,"[18, 10749, 10402]",45272,en,Country Strong,7.567,6.3,126
Another Year,SPC,3200000.0,16500000,2010,8,2010-12-29,Another Year,"$8,000,000","$3,205,706","$20,005,613",161,"[35, 18]",44009,en,Another Year,9.394,7.0,150
Buried,LGF,1000000.0,18100000,2010,2,2010-09-24,Buried,"$1,987,650","$1,044,143","$21,270,290",102,"[18, 53, 9648]",26388,en,Buried,10.888,6.6,1487
Repo Men,Uni.,13800000.0,4600000,2010,13,2010-03-19,Repo Men,"$32,000,000","$13,942,007","$18,195,238",73,"[28, 878, 53, 80]",31867,en,Repo Men,12.437000000000001,6.2,976
The Nutcracker in 3D,Free,195000.0,16000000,2010,79,2010-11-24,The Nutcracker in 3D,"$90,000,000","$195,459","$20,466,016",278,"[10402, 14, 28, 10751]",49852,en,The Nutcracker in 3D,7.566,5.5,97
Somewhere,Focus,1800000.0,12200000,2010,42,2010-12-22,Somewhere,"$7,000,000","$1,785,645","$17,023,121",275,"[35, 18]",39210,en,Somewhere,7.596,6.1,376
Winter's Bone,RAtt.,6500000.0,7300000,2010,8,2010-06-11,Winter's Bone,"$2,000,000","$6,531,503","$16,131,551",141,[18],39013,en,Winter's Bone,9.824,6.9,931
Made in Dagenham,SPC,1100000.0,11300000,2010,14,2010-11-19,Made in Dagenham,"$8,000,000","$1,095,369","$15,644,196",293,"[35, 18, 36]",46138,en,Made in Dagenham,7.275,6.6,150
Blue Valentine,Wein.,9700000.0,2600000,2010,25,2010-12-29,Blue Valentine,"$1,000,000","$9,737,892","$16,566,240",178,"[18, 10749]",46705,en,Blue Valentine,8.994,6.9,1677
Blue Valentine,Wein.,9700000.0,2600000,2010,25,2010-12-29,Blue Valentine,"$1,000,000","$9,737,892","$16,566,240",2673,"[18, 10749]",46705,en,Blue Valentine,8.994,6.9,1677
Chloe,SPC,3100000.0,8600000,2010,97,2010-03-26,Chloe,"$13,000,000","$3,075,255","$11,831,131",186,"[18, 53, 9648]",28211,en,Chloe,8.807,5.9,940
The Warrior's Way,Rela.,5700000.0,5400000,2010,65,2010-12-03,The Warrior's Way,"$42,000,000","$5,666,340","$8,514,325",222,"[12, 14, 28, 37, 53]",46528,en,The Warrior's Way,8.259,6.1,203
Jonah Hex,WB,10500000.0,356000,2010,40,2010-06-18,Jonah Hex,"$47,000,000","$10,547,117","$11,022,696",53,"[28, 37, 18, 14, 53]",20533,en,Jonah Hex,13.467,4.6,708
Harry Brown,Gold.,1800000.0,8500000,2010,81,2010-04-30,Harry Brown,"$7,300,000","$1,818,681","$12,023,606",114,"[53, 80, 18, 28]",25941,en,Harry Brown,10.555,6.8,505
Cyrus,FoxS,7500000.0,2500000,2010,27,2010-06-18,Cyrus,"$7,000,000","$7,468,936","$10,062,896",261,"[35, 18, 10749]",39053,en,Cyrus,7.735,6.0,201
Conviction,FoxS,6800000.0,2900000,2010,28,2010-10-15,Conviction,"$12,500,000","$6,797,696","$11,826,980",280,[18],45094,en,Conviction,7.51,7.2,297
Never Let Me Go,FoxS,2400000.0,7000000,2010,29,2010-09-15,Never Let Me Go,"$15,000,000","$2,434,652","$11,173,718",134,"[18, 10749, 878]",42188,en,Never Let Me Go,10.012,6.8,1294
MacGruber,Uni.,8500000.0,797000,2010,42,2010-05-21,MacGruber,"$10,000,000","$8,525,600","$8,629,895",268,"[28, 12, 35]",37931,en,MacGruber,7.666,5.3,270
Inside Job,SPC,4300000.0,3600000,2010,17,2010-10-08,Inside Job,"$2,000,000","$4,311,834","$7,799,257",152,[99],44639,en,Inside Job,9.514,7.8,466
The Joneses,RAtt.,1500000.0,5500000,2010,88,2010-04-16,The Joneses,"$10,000,000","$1,475,746","$3,541,565",349,"[35, 18]",41479,en,The Joneses,6.4239999999999995,6.2,312
Animal Kingdom,SPC,1000000.0,5700000,2010,71,2010-08-13,Animal Kingdom,"$4,200,000","$1,044,039","$8,078,683",127,"[18, 53, 80, 9648]",44629,en,Animal Kingdom,10.187999999999999,6.8,399
It's Kind of a Funny Story,Focus,6400000.0,128000,2010,1,2010-10-08,It's Kind of a Funny Story,"$8,000,000","$6,363,628","$6,632,950",135,"[35, 18]",43923,en,It's Kind of a Funny Story,10.01,7.0,1324
The Runaways,App.,3600000.0,1100000,2010,57,2010-03-19,The Runaways,"$9,500,000","$3,573,673","$5,278,632",226,"[18, 10402]",27586,en,The Runaways,8.19,6.4,448
Four Lions,Drft.,305000.0,4400000,2010,79,2010-11-05,Four Lions,"$3,750,000","$310,007","$2,436,111",138,"[35, 80, 18]",37495,en,Four Lions,9.968,7.0,621
Monsters,Magn.,237000.0,4000000,2010,50,2010-10-29,Monsters,"$500,000","$237,301","$5,639,730",129,"[18, 53, 878]",43933,en,Monsters,10.175,6.2,848
The Perfect Game,IW,1000000.0,2800000,2010,36,2010-04-16,The Perfect Game,"$12,500,000","$1,089,445","$3,931,367",451,"[18, 10751]",56601,en,The Perfect Game,4.958,6.3,44
Wild Target,Free,109000.0,3300000,2010,28,2010-10-29,Wild Target,"$8,000,000","$109,338","$5,314,194",164,"[28, 35]",44147,en,Wild Target,9.355,6.4,356
Kites,Relbig.,1600000.0,1300000,2010,66,2010-05-21,Kites,"$9,200,000","$1,685,269","$17,155,193",378,"[18, 28, 10749]",37737,hi,Kites,6.058,5.8,67
Letters to God,Viv.,2800000.0,60300,2010,25,2010-04-09,Letters to God,"$3,000,000","$2,848,587","$3,237,452",487,"[18, 10751]",35691,en,Letters to God,4.242,6.9,71
Flipped,WB,1800000.0,1200000,2010,22,2010-08-06,Flipped,"$14,000,000","$1,755,212","$4,289,993",145,"[10749, 18]",43949,en,Flipped,9.781,7.4,859
It's a Wonderful Afterlife,UTV,1100000.0,1300000,2010,36,2010-10-08,It's a Wonderful Afterlife,"$10,000,000",$0,"$1,642,939",1184,"[35, 10749]",42057,en,Hai Marjawaan!,1.3319999999999999,4.6,12
Casino Jack,ATO,1000000.0,40700,2010,32,2010-12-17,Casino Jack,"$12,500,000","$2,039,869","$2,272,186",157,"[80, 35, 18]",45324,en,Casino Jack,9.432,6.1,149
Enter the Void,IFC,336000.0,418000,2010,77,2010-09-24,Enter the Void,"$16,000,000","$337,997","$1,467,278",150,"[14, 18]",34647,en,Enter the Void,9.562999999999999,7.3,773
All Good Things,Magn.,582000.0,62500,2010,96,2010-12-03,All Good Things,"$20,000,000","$582,024","$873,617",247,"[18, 9648, 53, 80, 10749]",46503,en,All Good Things,7.871,6.0,493
Chain Letter,NFC,139000.0,447000,2010,43,2010-10-01,Chain Letter,"$3,000,000","$205,842","$1,022,453",347,"[27, 53]",38033,en,Chain Letter,6.44,4.1,63
I Spit on Your Grave,Anch.,93100.0,480000,2010,37,2010-10-08,I Spit on Your Grave,"$1,750,000","$93,051","$1,278,471",60,"[53, 80, 27]",43947,en,I Spit on Your Grave,13.102,6.3,977
Tiny Furniture,IFC,392000.0,1200000,2010,18,2010-11-12,Tiny Furniture,"$50,000","$391,674","$424,149",326,"[10749, 35, 18]",47607,en,Tiny Furniture,6.695,5.9,82
The Tempest,Mira.,278000.0,68700,2010,1,2010-12-10,The Tempest,"$20,000,000","$277,943","$277,943",361,"[18, 14]",44638,en,The Tempest,6.3,5.8,52
The Good Heart,Magn.,20900.0,323000,2010,73,2010-04-30,The Good Heart,"$3,800,000","$20,930","$340,930",760,"[18, 35, 10749]",5178,en,The Good Heart,2.3209999999999997,6.4,30
Welcome to the Rileys,Gold.,159000.0,158000,2010,12,2010-10-29,Welcome to the Rileys,"$10,000,000","$152,857","$355,919",217,[18],31007,en,Welcome to the Rileys,8.347999999999999,6.5,241
Freakonomics,Magn.,101000.0,16400,2010,80,2010-10-01,Freakonomics,"$2,900,000","$101,270","$172,867",401,[99],43942,en,Freakonomics,5.705,6.6,57
Pirates of the Caribbean: On Stranger Tides,BV,241100000.0,804600000,2011,2,2011-05-20,Pirates of the Caribbean: On Stranger Tides,"$410,600,000","$241,063,875","$1,045,663,875",2470,"[12, 28, 14]",1865,en,Pirates of the Caribbean: On Stranger Tides,30.579,6.4,8571
The Smurfs,Sony,142600000.0,421100000,2011,20,2011-07-29,The Smurfs,"$110,000,000","$142,614,158","$563,749,323",2495,"[16, 10751, 12, 35, 14]",41513,en,The Smurfs,16.533,5.6,2112
Puss in Boots,P/DW,149300000.0,405700000,2011,46,2011-10-28,Puss in Boots,"$130,000,000","$149,260,504","$554,987,477",2668,"[28, 12, 16, 10751, 14, 35]",417859,en,Puss in Boots,9.078,6.3,1422
Sherlock Holmes: A Game of Shadows,WB,186800000.0,358600000,2011,69,2011-12-16,Sherlock Holmes: A Game of Shadows,"$125,000,000","$186,848,418","$535,663,443",2484,"[12, 28, 80, 9648]",58574,en,Sherlock Holmes: A Game of Shadows,18.301,7.1,6380
Rio,Fox,143600000.0,341000000,2011,46,2011-04-15,Rio,"$90,000,000","$143,619,809","$487,519,809",2517,"[16, 12, 35, 10751]",46195,en,Rio,14.695,6.6,3730
Thor,Par.,181000000.0,268300000,2011,70,2011-05-06,Thor,"$150,000,000","$181,030,624","$449,326,618",2468,"[12, 14, 28]",10195,en,Thor,38.068000000000005,6.7,12764
Captain America: The First Avenger,Par.,176700000.0,193900000,2011,10,2011-07-22,Captain America: The First Avenger,"$140,000,000","$176,654,505","$370,569,776",2474,"[28, 12, 878]",1771,en,Captain America: The First Avenger,25.808000000000003,6.9,12810
X-Men: First Class,Fox,146400000.0,207200000,2011,42,2011-06-03,X-Men: First Class,"$160,000,000","$146,408,305","$355,408,305",3672,"[28, 878, 12]",49538,en,X-Men: First Class,1.4469999999999998,7.2,8211
Alvin and the Chipmunks: Chipwrecked,Fox,133100000.0,209600000,2011,49,2011-12-16,Alvin and the Chipmunks: Chipwrecked,"$80,000,000","$133,107,389","$349,088,523",2550,"[35, 14, 10751, 10402, 16]",55301,en,Alvin and the Chipmunks: Chipwrecked,12.672,5.5,1055
Bridesmaids,Uni.,169100000.0,119300000,2011,85,2011-05-13,Bridesmaids,"$32,500,000","$169,211,718","$289,632,023",2643,"[35, 10749]",55721,en,Bridesmaids,9.805,6.5,2783
Immortals,Rela.,83500000.0,143400000,2011,45,2011-11-11,Immortals,"$75,000,000","$83,504,017","$211,562,435",2514,"[14, 28, 18]",37958,en,Immortals,14.774000000000001,5.8,1431
Green Lantern,WB,116600000.0,103300000,2011,62,2011-06-17,Green Lantern,"$200,000,000","$116,601,172","$219,535,492",2490,"[12, 28, 53, 878]",44912,en,Green Lantern,17.257,5.1,4290
The Help,BV,169700000.0,46900000,2011,63,2011-08-10,The Help,"$25,000,000","$169,705,587","$213,120,004",2552,[18],50014,en,The Help,12.597999999999999,8.1,3944
Horrible Bosses,WB (NL),117500000.0,92100000,2011,34,2011-07-08,Horrible Bosses,"$35,000,000","$117,538,559","$212,417,601",2528,"[35, 80]",51540,en,Horrible Bosses,14.058,6.5,3842
Paranormal Activity 3,Par.,104000000.0,103000000,2011,51,2011-10-21,Paranormal Activity 3,"$5,000,000","$104,028,807","$207,039,844",2646,[27],72571,en,Paranormal Activity 3,9.669,5.9,1197
Hugo,Par.,73900000.0,111900000,2011,89,2011-11-23,Hugo,"$180,000,000","$73,864,507","$180,047,784",2544,"[12, 18, 10751]",44826,en,Hugo,12.936,7.1,4124
Hop,Uni.,108100000.0,75900000,2011,27,2011-04-01,Hop,"$63,000,000","$108,085,305","$188,657,593",2515,"[16, 35, 10751]",50359,en,Hop,14.738,5.6,611
War Horse,BV,79900000.0,97700000,2011,12,2011-12-25,War Horse,"$70,000,000","$79,883,359","$156,815,529",2613,"[18, 10752]",57212,en,War Horse,10.378,7.2,1849
In Time,Fox,37500000.0,136400000,2011,74,2011-10-28,In Time,"$35,000,000","$37,553,932","$165,103,952",2481,"[28, 53, 878]",49530,en,In Time,18.912,6.8,6245
Zookeeper,Sony,80400000.0,89500000,2011,71,2011-07-08,Zookeeper,"$80,000,000","$80,360,866","$170,805,525",2598,"[35, 10749, 10751]",38317,en,Zookeeper,10.764000000000001,5.3,886
The Muppets,BV,88600000.0,76600000,2011,64,2011-11-23,The Muppets,"$45,000,000","$88,625,922","$160,971,922",2582,"[35, 10751, 10402]",64328,en,The Muppets,11.324000000000002,6.6,831
Johnny English Reborn,Uni.,8300000.0,151800000,2011,19,2011-10-21,Johnny English Reborn,"$45,000,000","$8,406,711","$164,640,401",2503,"[80, 12, 28, 35, 53]",58233,en,Johnny English Reborn,15.542,6.1,1810
Final Destination 5,WB (NL),42600000.0,115300000,2011,49,2011-08-12,Final Destination 5,"$40,000,000","$42,587,643","$155,011,165",2537,"[27, 9648]",55779,en,Final Destination 5,13.392000000000001,6.0,1701
Tower Heist,Uni.,78000000.0,74900000,2011,5,2011-11-04,Tower Heist,"$85,000,000","$78,046,570","$150,422,946",2561,"[28, 35]",59108,en,Tower Heist,12.213,6.0,1592
Midnight in Paris,SPC,56800000.0,94300000,2011,83,2011-05-20,Midnight in Paris,"$30,000,000","$56,816,662","$162,502,774",2539,"[14, 35, 10749]",59436,en,Midnight in Paris,13.171,7.5,3965
Jack and Jill,Sony,74200000.0,75500000,2011,11,2011-11-11,Jack and Jill,"$79,000,000","$74,158,157","$150,519,217",2585,[35],71880,en,Jack and Jill,11.277000000000001,4.1,1124
No Strings Attached,Par.,70700000.0,78600000,2011,84,2011-01-21,No Strings Attached,"$25,000,000","$70,662,220","$149,228,078",2525,"[35, 10749]",41630,en,No Strings Attached,14.203,6.2,2612
Arthur Christmas,Sony,46500000.0,101000000,2011,14,2011-11-23,Arthur Christmas,"$85,000,000","$46,462,469","$149,717,124",2542,"[18, 16, 10751, 35]",51052,en,Arthur Christmas,12.981,6.7,692
Source Code,Sum.,54700000.0,92600000,2011,96,2011-04-01,Source Code,"$32,000,000","$54,712,227","$140,428,499",2535,"[53, 878, 9648]",45612,en,Source Code,13.495,7.2,4529
Contagion,WB,75700000.0,59800000,2011,71,2011-09-09,Contagion,"$60,000,000","$75,658,097","$137,551,594",2611,"[18, 53, 878]",39538,en,Contagion,10.444,6.3,2128
