title,studio,domestic_gross_x,foreign_gross,year,id_x,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,Unnamed: 0,genre_ids,id_y,original_language,original_title,popularity,vote_average,vote_count
Get Him to the Greek,Uni.,61000000,30300000,2010,22,6/4/2010,Get Him to the Greek,"$40,000,000 ","$61,153,526 ","$91,455,875 ",206,[35],32823,en,Get Him to the Greek,8.485,5.9,980
The Last Song,BV,63000000,26100000,2010,15,3/31/2010,The Last Song,"$20,000,000 ","$62,950,384 ","$92,678,948 ",170,"[18, 10751, 10749]",35690,en,The Last Song,9.237,7.2,2199
Dinner for Schmucks,P/DW,73000000,13800000,2010,51,7/30/2010,Dinner for Schmucks,"$69,000,000 ","$73,026,337 ","$86,796,502 ",333,[35],38778,en,Dinner for Schmucks,6.632,5.6,920
Marmaduke,Fox,33600000,50100000,2010,59,6/4/2010,Marmaduke,"$50,000,000 ","$33,644,788 ","$89,895,930 ",205,"[10751, 35]",38579,en,Marmaduke,8.487,5.1,367
Piranha 3D,W/Dim.,25000000,58200000,2010,52,8/20/2010,Piranha 3D,"$24,000,000 ","$25,003,155 ","$83,660,160 ",95,"[35, 27]",43593,en,Piranha 3D,11.302,5.3,1029
Edge of Darkness,WB,43300000,37800000,2010,8,1/29/2010,Edge of Darkness,"$60,000,000 ","$43,313,890 ","$82,812,456 ",97,"[80, 18, 9648, 53]",12201,en,Edge of Darkness,11.252,6.3,794
Vampires Suck,Fox,36700000,43900000,2010,49,8/18/2010,Vampires Suck,"$20,000,000 ","$36,661,504 ","$81,424,988 ",179,"[35, 27]",40264,en,Vampires Suck,8.992,4.1,658
Letters to Juliet,Sum.,53000000,26100000,2010,89,5/14/2010,Letters to Juliet,"$30,000,000 ","$53,032,453 ","$82,148,538 ",162,"[35, 18, 10749]",37056,en,Letters to Juliet,9.394,6.9,1706
Diary of a Wimpy Kid,Fox,64000000,11700000,2010,13,3/19/2010,Diary of a Wimpy Kid,"$15,000,000 ","$64,003,625 ","$76,954,311 ",77,"[35, 10751]",33217,en,Diary of a Wimpy Kid,12.256,6,736
Easy A,SGem,58400000,16600000,2010,67,9/17/2010,Easy A,"$8,000,000 ","$58,401,464 ","$76,200,721 ",39,[35],37735,en,Easy A,14.69,6.8,4168
The American,Focus,35600000,32299999,2010,51,9/1/2010,The American,"$20,000,000 ","$35,606,376 ","$67,950,723 ",177,"[80, 18, 53]",27579,en,The American,9.042,5.8,690
The Last Exorcism,LGF,41000000,26700000,2010,15,8/27/2010,The Last Exorcism,"$1,800,000 ","$41,034,350 ","$70,165,900 ",165,"[27, 18, 53]",38358,en,The Last Exorcism,9.35,5.6,519
The Next Three Days,LGF,21100000,46300000,2010,49,11/19/2010,The Next Three Days,"$30,000,000 ","$21,148,651 ","$67,255,916 ",100,"[10749, 18, 53, 80]",43539,en,The Next Three Days,11.147,7,1469
Skyline,Uni.,21400000,45400000,2010,99,11/12/2010,Skyline,"$10,000,000 ","$21,416,355 ","$68,264,973 ",184,"[878, 28]",42684,en,Skyline,8.847,4.8,833
Hot Tub Time Machine,MGM,50300000,14300000,2010,10,3/26/2010,Hot Tub Time Machine,"$36,000,000 ","$50,269,859 ","$65,967,750 ",130,"[878, 35, 12]",23048,en,Hot Tub Time Machine,10.15,6,1383
Devil,Uni.,33600000,29100000,2010,71,9/17/2010,Devil,"$10,000,000 ","$33,679,655 ","$63,354,114 ",125,"[27, 9648, 53]",44040,en,Devil,10.203,5.9,1516
127 Hours,FoxS,18300000,42400000,2010,6,11/5/2010,127 Hours,"$18,000,000 ","$18,335,230 ","$60,217,171 ",93,"[12, 18, 53]",44115,en,127 Hours,11.435,7,4469
Secretariat,BV,59700000,537000,2010,53,10/8/2010,Secretariat,"$35,000,000 ","$59,699,513 ","$60,376,247 ",176,[18],39486,en,Secretariat,9.059,7,200
Morning Glory,Par.,31000000,29000000,2010,73,11/10/2010,Morning Glory,"$40,000,000 ","$31,011,732 ","$59,795,070 ",113,"[35, 18, 10749]",38357,en,Morning Glory,10.595,6.3,717
Remember Me,Sum.,19100000,37000000,2010,51,3/12/2010,Remember Me,"$16,000,000 ","$19,068,240 ","$56,506,120 ",92,"[18, 10749]",23169,en,Remember Me,11.453,7.1,2079
Cop Out,WB,44900000,10700000,2010,99,2/26/2010,Cop Out,"$37,000,000 ","$44,875,481 ","$55,909,910 ",185,"[28, 35, 80]",23742,en,Cop Out,8.82,5.4,796
The Crazies,Over.,39100000,15700000,2010,36,2/26/2010,The Crazies,"$19,000,000 ","$39,123,589 ","$56,445,534 ",78,"[9648, 27, 28]",29427,en,The Crazies,12.246,6.2,1036
The Switch,Mira.,27800000,22100000,2010,39,8/20/2010,The Switch,"$19,000,000 ","$27,758,465 ","$49,858,465 ",260,"[35, 10749, 18]",41210,en,The Switch,7.745,6.1,1008
She's Out of My League,Par.,32000000,17800000,2010,62,3/12/2010,She's Out of My League,"$20,000,000 ","$32,010,860 ","$48,680,977 ",256,"[35, 10749]",34016,en,She's Out of My League,7.775,6.1,970
