title,studio,domestic_gross_x,foreign_gross,year,id_x,release_date,movie,production_budget,domestic_gross_y,worldwide_gross,Unnamed: 0,genre_ids,id_y,original_language,original_title,popularity,vote_average,vote_count
Hugo,Par.,73900000,111900000,2011,89,11/23/2011,Hugo,"$180,000,000 ","$73,864,507 ","$180,047,784 ",2544,"[12, 18, 10751]",44826,en,Hugo,12.936,7.1,4124
Hop,Uni.,108100000,75900000,2011,27,4/1/2011,Hop,"$63,000,000 ","$108,085,305 ","$188,657,593 ",2515,"[16, 35, 10751]",50359,en,Hop,14.738,5.6,611
War Horse,BV,79900000,97700000,2011,12,12/25/2011,War Horse,"$70,000,000 ","$79,883,359 ","$156,815,529 ",2613,"[18, 10752]",57212,en,War Horse,10.378,7.2,1849
In Time,Fox,37500000,136400000,2011,74,10/28/2011,In Time,"$35,000,000 ","$37,553,932 ","$165,103,952 ",2481,"[28, 53, 878]",49530,en,In Time,18.912,6.8,6245
Zookeeper,Sony,80400000,89500000,2011,71,7/8/2011,Zookeeper,"$80,000,000 ","$80,360,866 ","$170,805,525 ",2598,"[35, 10749, 10751]",38317,en,Zookeeper,10.764,5.3,886
The Muppets,BV,88600000,76600000,2011,64,11/23/2011,The Muppets,"$45,000,000 ","$88,625,922 ","$160,971,922 ",2582,"[35, 10751, 10402]",64328,en,The Muppets,11.324,6.6,831
Johnny English Reborn,Uni.,8300000,151800000,2011,19,10/21/2011,Johnny English Reborn,"$45,000,000 ","$8,406,711 ","$164,640,401 ",2503,"[80, 12, 28, 35, 53]",58233,en,Johnny English Reborn,15.542,6.1,1810
Final Destination 5,WB (NL),42600000,115300000,2011,49,8/12/2011,Final Destination 5,"$40,000,000 ","$42,587,643 ","$155,011,165 ",2537,"[27, 9648]",55779,en,Final Destination 5,13.392,6,1701
Tower Heist,Uni.,78000000,74900000,2011,5,11/4/2011,Tower Heist,"$85,000,000 ","$78,046,570 ","$150,422,946 ",2561,"[28, 35]",59108,en,Tower Heist,12.213,6,1592
Midnight in Paris,SPC,56800000,94300000,2011,83,5/20/2011,Midnight in Paris,"$30,000,000 ","$56,816,662 ","$162,502,774 ",2539,"[14, 35, 10749]",59436,en,Midnight in Paris,13.171,7.5,3965
Jack and Jill,Sony,74200000,75500000,2011,11,11/11/2011,Jack and Jill,"$79,000,000 ","$74,158,157 ","$150,519,217 ",2585,[35],71880,en,Jack and Jill,11.277,4.1,1124
No Strings Attached,Par.,70700000,78600000,2011,84,1/21/2011,No Strings Attached,"$25,000,000 ","$70,662,220 ","$149,228,078 ",2525,"[35, 10749]",41630,en,No Strings Attached,14.203,6.2,2612
Arthur Christmas,Sony,46500000,101000000,2011,14,11/23/2011,Arthur Christmas,"$85,000,000 ","$46,462,469 ","$149,717,124 ",2542,"[18, 16, 10751, 35]",51052,en,Arthur Christmas,12.981,6.7,692
Source Code,Sum.,54700000,92600000,2011,96,4/1/2011,Source Code,"$32,000,000 ","$54,712,227 ","$140,428,499 ",2535,"[53, 878, 9648]",45612,en,Source Code,13.495,7.2,4529
Contagion,WB,75700000,59800000,2011,71,9/9/2011,Contagion,"$60,000,000 ","$75,658,097 ","$137,551,594 ",2611,"[18, 53, 878]",39538,en,Contagion,10.444,6.3,2128
Unknown,WB,63700000,67099999,2011,21,2/18/2011,Unknown,"$40,000,000 ","$63,686,397 ","$136,123,083 ",2565,"[28, 9648, 53]",48138,en,Unknown,12.08,6.6,2043
The Adjustment Bureau,Uni.,62500000,65400000,2011,81,3/4/2011,The Adjustment Bureau,"$50,200,000 ","$62,495,645 ","$126,931,325 ",2532,"[878, 53, 10749]",38050,en,The Adjustment Bureau,13.717,6.6,2615
We Bought a Zoo,Fox,75600000,44500000,2011,14,12/23/2011,We Bought a Zoo,"$50,000,000 ","$75,624,550 ","$118,729,073 ",2638,"[18, 35, 10751]",74465,en,We Bought a Zoo,9.931,6.7,1523
Water for Elephants,Fox,58700000,58400000,2011,63,4/22/2011,Water for Elephants,"$38,000,000 ","$58,709,717 ","$116,809,717 ",2894,"[18, 10749]",55787,en,Water for Elephants,6.209,6.9,1627
Sanctum,Uni.,23200000,85400000,2011,45,2/4/2011,Sanctum,"$30,000,000 ","$23,209,310 ","$108,957,098 ",2793,"[28, 53]",48340,en,Sanctum,7.457,5.9,515
Justin Bieber: Never Say Never,Par.,73000000,26000000,2011,48,2/11/2011,Justin Bieber: Never Say Never,"$13,000,000 ","$73,013,910 ","$99,034,125 ",2696,"[99, 10402, 10751]",54518,en,Justin Bieber: Never Say Never,8.602,5.1,240
Insidious,FD,54000000,43000000,2011,63,4/1/2011,Insidious,"$1,500,000 ","$54,009,150 ","$99,870,886 ",2498,"[27, 53]",49018,en,Insidious,16.197,6.9,3582
The Rite,WB (NL),33000000,63000000,2011,100,1/28/2011,The Rite,"$37,000,000 ","$33,047,633 ","$97,143,987 ",2645,"[18, 53, 27]",48171,en,The Rite,9.676,5.9,994
Dolphin Tale,WB,72300000,23100000,2011,93,9/23/2011,Dolphin Tale,"$37,000,000 ","$72,286,779 ","$96,068,724 ",2604,"[18, 10751]",62837,en,Dolphin Tale,10.679,6.8,327
Season of the Witch,Rela.,24800000,66800000,2011,89,1/7/2011,Season of the Witch,"$40,000,000 ","$24,827,228 ","$91,126,600 ",2554,"[12, 14, 28]",23047,en,Season of the Witch,12.535,5.3,1352
Sucker Punch,WB,36400000,53400000,2011,62,3/25/2011,Sucker Punch,"$75,000,000 ","$36,392,502 ","$89,758,389 ",2521,"[28, 14, 53]",23629,en,Sucker Punch,14.416,6,2716
Red Riding Hood,WB,37700000,51500000,2011,55,3/11/2011,Red Riding Hood,"$42,000,000 ","$37,662,162 ","$91,678,442 ",2574,"[14, 53, 27]",49730,en,Red Riding Hood,11.856,5.9,1884
Spy Kids: All the Time in the World,W/Dim.,38500000,47000000,2011,100,8/19/2011,Spy Kids: All the Time in the World,"$27,000,000 ","$38,536,376 ","$80,681,183 ",2635,"[10751, 35, 28]",56288,en,Spy Kids: All the Time in the World,10.009,4.6,487
J. Edgar,WB,37300000,47600000,2011,76,11/9/2011,J. Edgar,"$35,000,000 ","$37,306,030 ","$84,606,030 ",2694,"[18, 80, 36]",88794,en,J. Edgar,8.628,6.2,1303
Hall Pass,WB (NL),45100000,38100000,2011,57,2/25/2011,Hall Pass,"$68,000,000 ","$45,060,734 ","$87,173,475 ",2636,"[35, 10749]",48988,en,Hall Pass,9.984,5.5,1009
"Big Mommas: Like Father, Like Son",Fox,37900000,44800000,2011,1,2/18/2011,"Big Mommas: Like Father, Like Son","$32,000,000 ","$37,915,414 ","$82,332,450 ",2501,"[80, 35, 28]",38322,en,"Big Mommas: Like Father, Like Son",16.024,5.5,623
Abduction,LGF,28100000,54000000,2011,96,9/23/2011,Abduction,"$35,000,000 ","$28,087,155 ","$86,648,359 ",2487,"[53, 28, 9648]",59965,en,Abduction,17.69,5.8,1791
Priest,SGem,29100000,49200000,2011,29,5/13/2011,Priest,"$60,000,000 ","$29,136,626 ","$84,154,026 ",2507,"[14, 27]",38321,en,Priest,15.318,5.5,1157
The Mechanic,CBS,29100000,47000000,2011,42,1/28/2011,The Mechanic,"$42,500,000 ","$29,121,498 ","$76,347,393 ",2524,"[28, 53, 80]",27582,en,The Mechanic,14.387,6.3,1676
The Ides of March,Sony,41000000,35000000,2011,76,10/7/2011,The Ides of March,"$23,000,000 ","$40,962,534 ","$77,735,925 ",2626,[18],10316,en,The Ides of March,10.127,6.7,1405
The Change-Up,Uni.,37100000,38400000,2011,72,8/5/2011,The Change-Up,"$52,000,000 ","$37,243,418 ","$75,997,067 ",2563,[35],49520,en,The Change-Up,12.122,6,1406
The Lincoln Lawyer,LGF,58000000,17000000,2011,25,3/18/2011,The Lincoln Lawyer,"$40,000,000 ","$58,009,200 ","$87,145,086 ",2575,"[80, 18, 53]",50348,en,The Lincoln Lawyer,11.812,7.1,1525
Diary of a Wimpy Kid: Rodrick Rules,Fox,52700000,19700000,2011,80,3/25/2011,Diary of a Wimpy Kid: Rodrick Rules,"$18,000,000 ","$52,698,535 ","$73,695,194 ",2678,"[10751, 35]",60307,en,Diary of a Wimpy Kid: Rodrick Rules,8.961,6.4,492
The Darkest Hour,Sum.,21400000,43200000,2011,58,12/25/2011,The Darkest Hour,"$34,800,000 ","$21,443,494 ","$62,831,715 ",2602,"[27, 28, 53, 878]",71469,en,The Darkest Hour,10.73,4.9,735
Hanna,Focus,40300000,23500000,2011,14,4/8/2011,Hanna,"$30,000,000 ","$40,259,119 ","$65,343,694 ",2644,"[28, 53, 12]",50456,en,Hanna,9.709,6.6,1944
Colombiana,TriS,36700000,24300000,2011,60,8/26/2011,Colombiana,"$40,000,000 ","$36,665,854 ","$72,295,262 ",2605,"[28, 53, 80, 18]",62835,en,Colombiana,10.584,6.5,1371
One Day,Focus,13800000,45500000,2011,84,8/19/2011,One Day,"$15,000,000 ","$13,843,771 ","$59,168,692 ",2618,"[18, 10749]",51828,en,One Day,10.308,7.2,2105
Killer Elite,ORF,25100000,31300000,2011,38,9/23/2011,Killer Elite,"$70,000,000 ","$25,124,986 ","$65,409,046 ",2509,"[28, 12, 53]",49021,en,Killer Elite,15.135,6.2,1093
The Tree of Life,FoxS,13300000,41000000,2011,24,5/27/2011,The Tree of Life,"$35,000,000 ","$13,305,665 ","$61,721,826 ",2577,"[18, 14]",8967,en,The Tree of Life,11.569,6.6,1730
Soul Surfer,TriS,43900000,3200000,2011,83,4/8/2011,Soul Surfer,"$18,000,000 ","$43,853,424 ","$47,158,652 ",2706,"[10751, 28, 18]",43959,en,Soul Surfer,8.459,7,688
The Debt,Focus,31200000,14500000,2011,65,8/31/2011,The Debt,"$20,000,000 ","$31,177,548 ","$46,604,054 ",2548,"[18, 53]",48289,en,The Debt,12.697,6.6,403
Beastly,CBS,27900000,15300000,2011,87,3/4/2011,Beastly,"$17,000,000 ","$27,865,571 ","$38,028,230 ",2624,"[18, 14, 10749, 878]",38117,en,Beastly,10.136,6.1,1748
30 Minutes or Less,Sony,37100000,3500000,2011,60,8/12/2011,30 Minutes or Less,"$28,000,000 ","$37,053,924 ","$40,966,716 ",2584,"[28, 12, 35]",62206,en,30 Minutes or Less,11.315,5.6,825
The Roommate,SGem,37300000,3200000,2011,39,2/4/2011,The Roommate,"$16,000,000 ","$37,300,107 ","$52,545,707 ",2734,"[53, 18, 27]",49950,en,The Roommate,8.134,5.4,406
Shark Night 3D,Rela.,18900000,21300000,2011,52,9/2/2011,Shark Night 3D,"$25,000,000 ","$18,877,153 ","$18,877,153 ",2751,"[27, 53]",65055,en,Shark Night 3D,7.879,5,245
Monte Carlo,Fox,23200000,16500000,2011,84,7/1/2011,Monte Carlo,"$20,000,000 ","$23,186,769 ","$39,686,769 ",2595,"[12, 35, 10749]",59860,en,Monte Carlo,11.017,6.2,1193
50/50,Sum.,35000000,4200000,2011,73,9/30/2011,50/50,"$8,000,000 ","$35,016,118 ","$41,334,735 ",2556,"[35, 18]",40807,en,50/50,12.451,7.1,2111
Mars Needs Moms,BV,21400000,17600000,2011,94,3/11/2011,Mars Needs Moms,"$150,000,000 ","$21,392,758 ","$39,549,758 ",2682,"[12, 16, 10751]",50321,en,Mars Needs Moms,8.852,5.7,299
Dream House,Uni.,21300000,17200000,2011,80,9/30/2011,Dream House,"$50,000,000 ","$21,302,340 ","$41,642,166 ",2670,"[18, 53, 9648]",69668,en,Dream House,9.047,6,670
Jumping the Broom,TriS,37300000,415000,2011,93,5/6/2011,Jumping the Broom,"$7,000,000 ","$37,295,394 ","$38,158,601 ",2704,[35],57119,en,Jumping the Broom,8.477,6,103
My Week with Marilyn,Wein.,14600000,20500000,2011,22,11/23/2011,My Week with Marilyn,"$10,000,000 ","$14,597,405 ","$34,240,572 ",2564,[18],75900,en,My Week with Marilyn,12.081,6.7,741
The Sitter,Fox,30400000,4500000,2011,32,12/9/2011,The Sitter,"$25,000,000 ","$30,542,576 ","$38,749,404 ",2576,[35],57431,en,The Sitter,11.571,5.4,472
Courageous,TriS,34500000,1200000,2011,87,9/30/2011,Courageous,"$2,000,000 ","$34,522,221 ","$35,185,884 ",2800,[18],72213,en,Courageous,7.406,7,128
I Don't Know How She Does It,Wein.,9700000,20900000,2011,58,9/16/2011,I Don't Know How She Does It,"$24,000,000 ","$9,659,074 ","$24,474,463 ",2720,"[10749, 35]",70868,en,I Don't Know How She Does It,8.271,5.2,231
What's Your Number?,Fox,14000000,16399999,2011,24,9/30/2011,What's Your Number?,"$20,000,000 ","$14,011,084 ","$30,163,785 ",2612,"[35, 10749]",63492,en,What's Your Number?,10.391,6.4,1271
A Dangerous Method,SPC,5700000,21800000,2011,69,11/23/2011,A Dangerous Method,"$20,000,000 ","$5,702,083 ","$14,807,531 ",2615,"[18, 53]",48231,en,A Dangerous Method,10.352,6.3,1066
The Eagle,Focus,19500000,7600000,2011,50,2/11/2011,The Eagle,"$25,000,000 ","$19,490,041 ","$38,993,548 ",2709,"[12, 18]",49494,en,The Eagle,8.443,6.1,694
Apollo 18,W/Dim.,17700000,7900000,2011,94,9/2/2011,Apollo 18,"$5,000,000 ","$17,686,929 ","$26,517,819 ",2711,"[27, 53, 878]",50357,en,Apollo 18,8.384,5,486
Your Highness,Uni.,21600000,3300000,2011,78,4/8/2011,Your Highness,"$50,000,000 ","$21,596,445 ","$26,121,638 ",2560,"[35, 12, 14]",38319,en,Your Highness,12.254,5.3,735
Our Idiot Brother,Wein.,24800000,1200000,2011,78,8/26/2011,Our Idiot Brother,"$5,000,000 ","$24,814,830 ","$25,861,249 ",2700,"[35, 18]",59968,en,Our Idiot Brother,8.523,6.1,527
Warrior,LGF,13700000,9400000,2011,74,9/9/2011,Warrior,"$25,000,000 ","$13,657,115 ","$24,215,385 ",2504,[18],59440,en,Warrior,15.478,7.8,2189
The Guard,SPC,5400000,14200000,2011,54,7/29/2011,The Guard,"$6,000,000 ","$5,359,774 ","$21,197,454 ",2622,"[28, 35, 53, 80]",67913,en,The Guard,10.177,6.9,563
Margin Call,RAtt.,5400000,14200000,2011,37,10/21/2011,Margin Call,"$3,400,000 ","$5,353,586 ","$20,433,227 ",2654,"[53, 18]",50839,en,Margin Call,9.498,6.8,856
Shame,FoxS,3900000,13800000,2011,97,12/2/2011,Shame,"$6,500,000 ","$4,002,293 ","$20,412,841 ",2540,[18],76025,en,Shame,13.152,7,1607
Melancholia,Magn.,3000000,12900000,2011,62,11/11/2011,Melancholia,"$9,400,000 ","$3,030,848 ","$21,817,298 ",2592,"[18, 878]",62215,da,Melancholia,11.123,7.1,1642
The Conspirator,RAtt.,11500000,3900000,2011,80,4/15/2011,The Conspirator,"$25,000,000 ","$11,538,204 ","$15,907,411 ",2868,"[80, 18, 36]",60309,en,The Conspirator,6.493,6.5,226
Anonymous,Sony,4500000,10900000,2011,90,10/28/2011,Anonymous,"$27,500,000 ","$4,463,292 ","$15,815,509 ",2736,"[18, 36, 53]",61891,en,Anonymous,8.114,6.4,434
Snow Flower and the Secret Fan,FoxS,1300000,10000000,2011,70,7/15/2011,Snow Flower and the Secret Fan,"$6,000,000 ","$1,348,205 ","$11,348,205 ",3035,"[18, 36]",58882,en,Snow Flower and the Secret Fan,4.519,5.9,39
Le Havre,Jan.,612000,9900000,2011,29,10/21/2011,Le Havre,"$5,500,000 ","$611,709 ","$13,480,196 ",2916,"[18, 35]",73532,fr,Le Havre,5.973,6.9,169
Prom,BV,10100000,1200000,2011,97,4/29/2011,Prom,"$8,000,000 ","$10,130,219 ","$10,763,183 ",2837,"[35, 10749]",51588,en,Prom,6.911,6,276
The Big Year,Fox,7200000,244000,2011,74,10/14/2011,The Big Year,"$41,000,000 ","$7,204,138 ","$7,684,524 ",2828,[35],73937,en,The Big Year,7.077,5.8,393
Take Me Home Tonight,Rela.,6900000,1200000,2011,48,3/4/2011,Take Me Home Tonight,"$19,000,000 ","$6,928,068 ","$7,576,604 ",2583,"[35, 18, 10749]",50725,en,Take Me Home Tonight,11.321,6.1,339
Cedar Rapids,FoxS,6900000,1200000,2011,51,2/11/2011,Cedar Rapids,"$10,000,000 ","$6,861,102 ","$7,862,131 ",2767,[35],52067,en,Cedar Rapids,7.694,6,206
Attack the Block,SGem,1000000,4800000,2011,7,7/29/2011,Attack the Block,"$13,000,000 ","$1,024,175 ","$6,459,183 ",2648,"[28, 35, 878]",59678,en,Attack the Block,9.612,6.4,1144
Like Crazy,ParV,3400000,336000,2011,74,10/28/2011,Like Crazy,"$250,000 ","$3,395,391 ","$3,728,400 ",2629,"[18, 10749]",60420,en,Like Crazy,10.091,6.5,638
Martha Marcy May Marlene,FoxS,3000000,548000,2011,42,10/21/2011,Martha Marcy May Marlene,"$1,000,000 ","$2,981,038 ","$5,438,911 ",2656,"[18, 53]",50837,en,Martha Marcy May Marlene,9.477,6.7,413
Machine Gun Preacher,Rela.,539000,2800000,2011,99,9/23/2011,Machine Gun Preacher,"$30,000,000 ","$538,690 ","$3,721,988 ",2666,"[28, 53, 80]",45610,en,Machine Gun Preacher,9.12,6.5,477
Take Shelter,SPC,1700000,1400000,2011,9,9/30/2011,Take Shelter,"$4,750,000 ","$1,728,953 ","$4,972,016 ",2588,"[53, 18]",64720,en,Take Shelter,11.236,7.2,787
Everything Must Go,RAtt.,2700000,1200000,2011,50,5/13/2011,Everything Must Go,"$5,000,000 ","$2,712,131 ","$2,821,010 ",2788,"[35, 18, 10749]",45658,en,Everything Must Go,7.493,6,301
Brighton Rock,IFC,230000,1600000,2011,11,8/26/2011,Brighton Rock,"$11,000,000 ","$229,653 ","$229,653 ",3017,"[18, 53, 80]",62728,en,Brighton Rock,4.749,6,57
Another Earth,FoxS,1300000,456000,2011,48,7/22/2011,Another Earth,"$175,000 ","$1,321,194 ","$2,102,779 ",2633,"[18, 878]",55420,en,Another Earth,10.03,6.7,853
A Better Life,Sum.,1800000,1200000,2011,84,6/24/2011,A Better Life,"$10,000,000 ","$1,759,252 ","$1,884,251 ",2922,[18],55720,en,A Better Life,5.885,7.1,97
The Art of Getting By,FoxS,1400000,1200000,2011,20,6/17/2011,The Art of Getting By,"$4,000,000 ","$1,430,241 ","$1,989,035 ",2692,"[18, 10749]",64678,en,The Art of Getting By,8.695,6.5,752
The Devil's Double,LGF,1400000,1200000,2011,23,7/29/2011,The Devil's Double,"$19,100,000 ","$1,361,512 ","$5,965,646 ",2786,"[18, 28, 53, 80, 10752]",62630,en,The Devil's Double,7.505,6.7,291
Red State,SMod,1100000,1200000,2011,22,9/23/2011,Red State,"$4,000,000 ","$1,065,429 ","$1,983,596 ",2758,"[27, 28, 53]",48572,en,Red State,7.816,6.1,472
There Be Dragons,Gold.,1100000,1200000,2011,21,5/6/2011,There Be Dragons,"$36,000,000 ","$1,069,334 ","$4,020,990 ",2831,"[18, 10752]",45054,en,There Be Dragons,7.058,5.1,93
Submarine,Wein.,468000,397000,2011,9,6/3/2011,Submarine,"$1,900,000 ","$467,602 ","$4,581,937 ",2797,"[18, 35, 10749]",49020,en,Submarine,7.412,7.4,770
Blackthorn,Magn.,201000,423000,2011,46,10/7/2011,Blackthorn,"$4,500,000 ","$200,558 ","$1,217,307 ",2780,"[12, 28, 37]",68818,en,Blackthorn,7.548,6.7,111
The Future,RAtt.,569000,1200000,2011,62,7/29/2011,The Future,"$1,000,000 ","$568,662 ","$1,239,174 ",3088,"[35, 18]",54662,en,The Future,3.836,5.8,38
Dum Maaro Dum,FoxS,564000,1200000,2011,46,4/22/2011,Dum Maaro Dum,"$5,200,000 ","$564,489 ","$11,633,427 ",3651,"[18, 28, 80]",63006,hi,दम मारो दम,1.491,5.4,16
Circumstance,RAtt.,454000,1200000,2011,41,8/26/2011,Circumstance,"$900,000 ","$454,121 ","$958,978 ",3222,[18],60421,fa,Circumstance,2.86,6.9,45
Another Happy Day,P4,8500,347000,2011,52,11/18/2011,Another Happy Day,"$4,000,000 ","$9,120 ","$978,527 ",2954,"[35, 18]",60422,en,Another Happy Day,5.473,6.1,60
Margaret,FoxS,46500,1200000,2011,27,9/30/2011,Margaret,"$14,000,000 ","$47,185 ","$623,292 ",2689,[18],44754,en,Margaret,8.747,6.3,138
The Son of No One,Anch.,30700,1200000,2011,51,11/4/2011,The Son of No One,"$15,000,000 ","$30,680 ","$1,148,578 ",2773,"[18, 53, 80]",74536,en,The Son of No One,7.586,5.1,156
The Dark Knight Rises,WB,448100000,636800000,2012,11,7/20/2012,The Dark Knight Rises,"$275,000,000 ","$448,139,099 ","$1,084,439,099 ",5182,"[28, 80, 18, 53]",49026,en,The Dark Knight Rises,26.22,7.7,13933
The Hobbit: An Unexpected Journey,WB (NL),303000000,718100000,2012,19,12/14/2012,The Hobbit: An Unexpected Journey,"$250,000,000 ","$303,003,568 ","$1,017,003,568 ",5180,"[12, 14, 28]",49051,en,The Hobbit: An Unexpected Journey,26.939,7.2,12076
Ice Age: Continental Drift,Fox,161300000,715900000,2012,14,7/13/2012,Ice Age: Continental Drift,"$95,000,000 ","$161,321,843 ","$879,765,137 ",5202,"[16, 35, 12, 10751]",57800,en,Ice Age: Continental Drift,17.537,6.3,4598
Madagascar 3: Europe's Most Wanted,P/DW,216400000,530500000,2012,97,6/8/2012,Madagascar 3: Europe's Most Wanted,"$145,000,000 ","$216,391,482 ","$746,921,271 ",5196,"[16, 10751, 35]",80321,en,Madagascar 3: Europe's Most Wanted,18.705,6.5,3380
The Hunger Games,LGF,408000000,286400000,2012,38,3/23/2012,The Hunger Games,"$80,000,000 ","$408,010,692 ","$677,923,379 ",5235,"[878, 12, 14]",70160,en,The Hunger Games,14.212,7.1,14587
Life of Pi,Fox,125000000,484000000,2012,88,11/21/2012,Life of Pi,"$120,000,000 ","$124,987,022 ","$620,912,003 ",5223,"[12, 18, 28]",87827,en,Life of Pi,15,7.3,8723
Ted,Uni.,218800000,330600000,2012,84,6/29/2012,Ted,"$50,000,000 ","$218,665,740 ","$556,016,627 ",5231,"[35, 14]",72105,en,Ted,14.475,6.3,7727
Brave,BV,237300000,303200000,2012,77,6/22/2012,Brave,"$185,000,000 ","$237,282,182 ","$554,606,532 ",5195,"[16, 12, 35, 10751, 28, 14]",62177,en,Brave,18.908,6.9,8116
Wreck-It Ralph,BV,189400000,281800000,2012,31,11/2/2012,Wreck-It Ralph,"$165,000,000 ","$189,412,677 ","$496,511,521 ",5187,"[10751, 16, 35, 12]",82690,en,Wreck-It Ralph,22.967,7.3,7780
Django Unchained,Wein.,162800000,262600000,2012,69,12/25/2012,Django Unchained,"$100,000,000 ","$162,805,434 ","$449,948,323 ",5189,"[18, 37]",68718,en,Django Unchained,21.26,8,15725
Prometheus,Fox,126500000,276900000,2012,75,6/8/2012,Prometheus,"$125,000,000 ","$126,477,084 ","$402,448,265 ",5184,"[878, 12, 9648]",70981,en,Prometheus,24.98,6.4,7384
Snow White and the Huntsman,Uni.,155300000,241300000,2012,19,6/1/2012,Snow White and the Huntsman,"$170,000,000 ","$155,136,755 ","$401,021,746 ",5190,"[12, 14, 18]",58595,en,Snow White and the Huntsman,21.233,5.9,5258
Hotel Transylvania,Sony,148300000,210100000,2012,96,9/28/2012,Hotel Transylvania,"$85,000,000 ","$148,313,048 ","$378,505,812 ",5220,"[16, 35, 10751, 14]",76492,en,Hotel Transylvania,15.318,6.9,5013
Journey 2: The Mysterious Island,WB (NL),103900000,231400000,2012,10,2/10/2012,Journey 2: The Mysterious Island,"$79,000,000 ","$103,860,290 ","$318,146,162 ",5232,"[12, 28, 878]",72545,en,Journey 2: The Mysterious Island,14.454,5.9,2152
The Expendables 2,LGF,85000000,229900000,2012,81,8/17/2012,The Expendables 2,"$100,000,000 ","$85,028,192 ","$311,979,256 ",5204,"[28, 12, 53]",76163,en,The Expendables 2,17.216,6.2,4219
Rise of the Guardians,P/DW,103400000,203500000,2012,2,11/21/2012,Rise of the Guardians,"$145,000,000 ","$103,412,758 ","$306,900,902 ",5225,"[16, 10751, 14]",81188,en,Rise of the Guardians,14.934,7.3,3697
Battleship,Uni.,65400000,237600000,2012,32,5/18/2012,Battleship,"$220,000,000 ","$65,233,400 ","$313,477,717 ",5188,"[53, 28, 12, 878]",44833,en,Battleship,21.742,5.6,3240
John Carter,BV,73100000,211100000,2012,14,3/9/2012,John Carter,"$275,000,000 ","$73,058,679 ","$282,778,100 ",5197,"[28, 12, 878]",49529,en,John Carter,18.549,6.1,3338
The Bourne Legacy,Uni.,113200000,162900000,2012,76,8/10/2012,The Bourne Legacy,"$125,000,000 ","$113,203,870 ","$280,355,920 ",5200,"[28, 53]",49040,en,The Bourne Legacy,18.05,6.1,3630
Dark Shadows,WB,79700000,165800000,2012,89,5/11/2012,Dark Shadows,"$150,000,000 ","$79,727,149 ","$238,202,668 ",5213,"[35, 14]",62213,en,Dark Shadows,15.75,5.9,4197
Resident Evil: Retribution,SGem,42300000,197700000,2012,4,9/14/2012,Resident Evil: Retribution,"$65,000,000 ","$42,345,531 ","$240,647,629 ",6401,"[28, 27, 878]",71679,en,Resident Evil: Retribution,1.325,5.7,2321
American Reunion,Uni.,57000000,178000000,2012,26,4/6/2012,American Reunion,"$50,000,000 ","$56,758,835 ","$236,799,211 ",5205,[35],71552,en,American Reunion,17.199,6.2,2679
Argo,WB,136000000,96300000,2012,27,10/12/2012,Argo,"$44,500,000 ","$136,025,503 ","$227,140,757 ",5212,"[18, 53]",68734,en,Argo,15.793,7.2,5127
Jack Reacher,Par.,80100000,138300000,2012,68,12/21/2012,Jack Reacher,"$60,000,000 ","$80,070,736 ","$217,370,736 ",5198,"[80, 18, 53, 28]",75780,en,Jack Reacher,18.312,6.4,4155
Safe House,Uni.,126400000,81700000,2012,99,2/10/2012,Safe House,"$85,000,000 ","$126,181,630 ","$208,542,162 ",5251,"[28, 53]",59961,en,Safe House,13.116,6.4,1997
The Vow,SGem,125000000,71100000,2012,42,2/10/2012,The Vow,"$30,000,000 ","$125,014,030 ","$197,618,160 ",5252,"[18, 10749]",72570,en,The Vow,13.046,7.1,2409
Mirror Mirror,Rela.,64900000,118100000,2012,7,3/30/2012,Mirror Mirror,"$85,000,000 ","$64,935,167 ","$173,613,482 ",5247,"[12, 35, 18, 10751, 14]",62764,en,Mirror Mirror,13.221,5.8,2099
The Dictator,Par.,59700000,119700000,2012,96,5/16/2012,The Dictator,"$65,000,000 ","$59,650,222 ","$180,148,897 ",5260,[35],76493,en,The Dictator,12.592,6,3042
Looper,TriS,66500000,110000000,2012,69,9/28/2012,Looper,"$30,000,000 ","$66,486,205 ","$170,466,405 ",5207,"[28, 53, 878]",59967,en,Looper,16.779,6.8,6723
Magic Mike,WB,113700000,53500000,2012,88,6/29/2012,Magic Mike,"$7,000,000 ","$113,721,571 ","$170,549,753 ",5241,"[18, 35]",77930,en,Magic Mike,13.7,6.1,1850
Flight,Par.,93800000,68000000,2012,23,11/2/2012,Flight,"$31,000,000 ","$93,772,375 ","$160,558,438 ",5275,[18],87502,en,Flight,11.692,6.7,3582
This Means War,Fox,54800000,101700000,2012,98,2/17/2012,This Means War,"$65,000,000 ","$54,760,791 ","$156,974,557 ",5271,"[28, 35, 10749]",59962,en,This Means War,12.017,6,2096
Paranormal Activity 4,Par.,53900000,88900000,2012,59,10/19/2012,Paranormal Activity 4,"$5,000,000 ","$53,900,335 ","$142,817,992 ",5347,[27],82990,en,Paranormal Activity 4,8.965,5.4,1026
Step Up Revolution,LG/S,35100000,105400000,2012,74,7/27/2012,Step Up Revolution,"$33,000,000 ","$35,074,677 ","$165,552,290 ",5290,"[10402, 18, 10749]",85446,en,Step Up Revolution,10.925,6.8,1252
Zero Dark Thirty,Sony,95700000,37100000,2012,66,12/19/2012,Zero Dark Thirty,"$52,500,000 ","$95,720,716 ","$134,612,435 ",5234,"[53, 18, 36]",97630,en,Zero Dark Thirty,14.239,6.9,2553
